chr	start	end
chr11	60970007	60970009
chr11	60970090	60970092
chr11	60970246	60970248
chr11	60970260	60970262
chr11	60970456	60970458
chr11	60970506	60970508
chr11	60970519	60970521
chr11	60970522	60970524
chr11	60970559	60970561
chr11	60970571	60970573
chr11	60970589	60970591
chr11	60970620	60970622
chr11	60970640	60970642
chr11	60970887	60970889
chr11	60970914	60970916
chr11	60970945	60970947
chr11	60971086	60971088
chr11	60971146	60971148
chr11	60971151	60971153
chr11	60971358	60971360
chr11	60971363	60971365
chr11	60971498	60971500
chr11	60971522	60971524
chr11	60971532	60971534
chr11	60971546	60971548
chr11	60971671	60971673
chr11	60971699	60971701
chr11	60971705	60971707
chr11	60971710	60971712
chr11	60971771	60971773
chr11	60971780	60971782
chr11	60971787	60971789
chr11	60971791	60971793
chr11	60971804	60971806
chr11	60971837	60971839
chr11	60971839	60971841
chr11	60971879	60971881
chr11	60971899	60971901
chr11	60971958	60971960
chr11	60971964	60971966
chr11	60972090	60972092
chr11	60972258	60972260
chr11	60972304	60972306
chr11	60972334	60972336
chr11	60972362	60972364
chr11	60972407	60972409
chr11	60972453	60972455
chr11	60972474	60972476
